arrival_ts,sequence,product,num_changes,arrival_dt,latency_ms,rolling_mean_ms,rolling_std_ms,z_score,is_spike,phase
1775324079.7604978,109,BTC-USD,3,2026-04-04 17:34:39.760497808+00:00,0.14781951904296875,57.14149475097656,192.2782767501109,-0.29641245072111727,False,before
1775324079.76063,110,BTC-USD,3,2026-04-04 17:34:39.760629892+00:00,0.13208389282226562,57.121357917785645,192.28431408344824,-0.29638025491892683,False,before
1775324079.760764,111,BTC-USD,1,2026-04-04 17:34:39.760763884+00:00,0.13399124145507812,57.068119049072266,192.30003031594393,-0.2960692606968179,False,before
1775324079.760895,112,BTC-USD,3,2026-04-04 17:34:39.760895014+00:00,0.13113021850585938,57.066283226013184,192.30058451022356,-0.29607373868632414,False,before
1775324079.761027,113,BTC-USD,8,2026-04-04 17:34:39.761027098+00:00,0.13208389282226562,57.06535816192627,192.3008638662648,-0.29606353879251485,False,before
1775324080.475845,114,BTC-USD,2,2026-04-04 17:34:40.475845098+00:00,714.818000793457,70.29868125915527,213.61173395323522,3.017246794482754,True,before
1775324080.476222,115,BTC-USD,1,2026-04-04 17:34:40.476222038+00:00,0.3769397735595703,55.32721996307373,190.00445053145938,-0.2892052266976554,False,before
1775324080.476405,116,BTC-USD,11,2026-04-04 17:34:40.476404905+00:00,0.18286705017089844,55.32383441925049,190.00545158670968,-0.29020729094141706,False,before
1775324080.47673,117,BTC-USD,1,2026-04-04 17:34:40.476730108+00:00,0.32520294189453125,55.326642990112305,190.0046209497604,-0.2894742231703977,False,before
1775324080.4769568,118,BTC-USD,3,2026-04-04 17:34:40.476956844+00:00,0.22673606872558594,55.327796936035156,190.00427930218495,-0.28999905196701503,False,before
1775324080.4771578,119,BTC-USD,2,2026-04-04 17:34:40.477157831+00:00,0.2009868621826172,55.32845497131348,190.0040844277009,-0.29013833189521565,False,before
1775324080.477342,120,BTC-USD,3,2026-04-04 17:34:40.477341890+00:00,0.18405914306640625,55.328617095947266,190.00403641081493,-0.2902283498527932,False,before
1775324080.477545,121,BTC-USD,1,2026-04-04 17:34:40.477545023+00:00,0.20313262939453125,55.32912254333496,190.00388673860385,-0.2901308539534221,False,before
1775324080.477749,122,BTC-USD,7,2026-04-04 17:34:40.477749109+00:00,0.2040863037109375,55.32998561859131,190.00363112577844,-0.29013076743985056,False,before
1775324080.477945,123,BTC-USD,1,2026-04-04 17:34:40.477945089+00:00,0.19598007202148438,55.33046245574951,190.00348990532845,-0.2901761562969157,False,before
1775324080.478092,124,BTC-USD,2,2026-04-04 17:34:40.478091955+00:00,0.1468658447265625,55.32987594604492,190.0036636772618,-0.29043129502519294,False,before
1775324080.478225,125,BTC-USD,5,2026-04-04 17:34:40.478224993+00:00,0.13303756713867188,55.328779220581055,190.00398861758512,-0.29049780509888695,False,before
1775324080.4783611,126,BTC-USD,5,2026-04-04 17:34:40.478361130+00:00,0.1361370086669922,55.32790184020996,190.00424857602684,-0.2904764774744443,False,before
1775324080.478511,127,BTC-USD,18,2026-04-04 17:34:40.478511095+00:00,0.1499652862548828,55.328102111816406,190.00418922397864,-0.29040484344540973,False,before
