arrival_ts,sequence,product,num_changes
1775324100.566695,512,BTC-USD,21
1775324100.6163561,513,BTC-USD,8
1775324100.6634161,514,BTC-USD,6
1775324100.7103438,515,BTC-USD,1
1775324100.762603,516,BTC-USD,4
1775324100.814498,517,BTC-USD,15
1775324100.864289,518,BTC-USD,6
1775324100.913654,519,BTC-USD,7
1775324100.959965,520,BTC-USD,4
1775324101.009526,521,BTC-USD,2
1775324101.060493,522,BTC-USD,1
1775324101.11566,523,BTC-USD,17
1775324101.1627898,524,BTC-USD,7
1775324101.209065,525,BTC-USD,1
1775324101.266038,526,BTC-USD,22
1775324101.315496,527,BTC-USD,10
1775324101.364577,528,BTC-USD,6
1775324101.414187,529,BTC-USD,17
1775324101.4632351,530,BTC-USD,3
1775324102.286958,531,BTC-USD,11
1775324102.2872078,532,BTC-USD,6
1775324102.287355,533,BTC-USD,15
1775324102.287509,534,BTC-USD,25
1775324102.287682,535,BTC-USD,19
1775324102.2878468,536,BTC-USD,3
1775324102.2879841,537,BTC-USD,7
1775324102.288198,538,BTC-USD,11
1775324102.2883892,539,BTC-USD,9
1775324102.2885451,540,BTC-USD,19
1775324102.2887108,541,BTC-USD,17
1775324102.288882,542,BTC-USD,5
1775324102.2890859,543,BTC-USD,20
1775324102.2892869,544,BTC-USD,6
1775324102.2894669,545,BTC-USD,4
1775324103.0878148,546,BTC-USD,4
1775324103.0879738,547,BTC-USD,15
1775324103.089016,548,BTC-USD,9
1775324103.09349,549,BTC-USD,22
1775324103.096641,550,BTC-USD,7
1775324103.0967948,551,BTC-USD,9
1775324103.099464,552,BTC-USD,10
1775324103.1024241,553,BTC-USD,6
1775324103.104612,554,BTC-USD,14
1775324103.1054358,555,BTC-USD,4
1775324103.1068,556,BTC-USD,10
1775324103.107417,557,BTC-USD,6
1775324103.1106062,558,BTC-USD,9
1775324103.110733,559,BTC-USD,3
1775324103.110833,560,BTC-USD,5
1775324103.114569,561,BTC-USD,9
1775324103.114689,562,BTC-USD,8
1775324103.117833,563,BTC-USD,17
1775324103.92358,564,BTC-USD,11
1775324103.923794,565,BTC-USD,12
1775324103.923935,566,BTC-USD,18
1775324103.924057,567,BTC-USD,9
1775324103.924167,568,BTC-USD,18
1775324103.9242969,569,BTC-USD,8
1775324103.924429,570,BTC-USD,15
1775324103.9245498,571,BTC-USD,15
1775324103.924665,572,BTC-USD,11
1775324103.924783,573,BTC-USD,4
1775324103.9248881,574,BTC-USD,11
1775324103.924997,575,BTC-USD,4
1775324103.925098,576,BTC-USD,12
1775324103.925212,577,BTC-USD,1
1775324103.925314,578,BTC-USD,1
1775324103.9254138,579,BTC-USD,2
1775324103.9635599,580,BTC-USD,4
1775324104.009703,581,BTC-USD,1
1775324104.063584,582,BTC-USD,10
1775324104.116042,583,BTC-USD,22
1775324104.164785,584,BTC-USD,20
1775324104.21397,585,BTC-USD,6
1775324104.26998,586,BTC-USD,24
1775324104.314091,587,BTC-USD,8
1775324104.3655748,588,BTC-USD,12
1775324104.414559,589,BTC-USD,8
1775324104.464705,590,BTC-USD,7
1775324104.513664,591,BTC-USD,3
1775324104.5649412,592,BTC-USD,6
1775324104.615812,593,BTC-USD,34
1775324104.6669009,594,BTC-USD,12
1775324104.715025,595,BTC-USD,4
1775324104.766309,596,BTC-USD,16
1775324104.814792,597,BTC-USD,7
1775324104.86421,598,BTC-USD,5
1775324104.9142668,599,BTC-USD,18
1775324104.965208,600,BTC-USD,4
1775324105.015174,601,BTC-USD,4
1775324105.0632389,602,BTC-USD,5
1775324105.76143,603,BTC-USD,21
1775324105.7627368,604,BTC-USD,5
1775324105.7654011,605,BTC-USD,4
1775324105.765594,606,BTC-USD,9
1775324105.766735,607,BTC-USD,1
1775324105.766866,608,BTC-USD,12
1775324105.768377,609,BTC-USD,21
1775324105.772065,610,BTC-USD,7
1775324105.77341,611,BTC-USD,10
1775324105.7766871,612,BTC-USD,4
1775324105.778079,613,BTC-USD,7
1775324105.7786,614,BTC-USD,20
1775324105.7813718,615,BTC-USD,3
1775324105.782629,616,BTC-USD,9
1775324105.8134952,617,BTC-USD,6
1775324105.9152799,618,BTC-USD,21
1775324105.966691,619,BTC-USD,10
1775324106.013978,620,BTC-USD,6
1775324106.081804,621,BTC-USD,15
1775324106.109726,622,BTC-USD,4
1775324106.1648,623,BTC-USD,20
1775324106.212981,624,BTC-USD,7
1775324106.264055,625,BTC-USD,12
1775324107.09526,626,BTC-USD,15
1775324107.713503,627,BTC-USD,1
1775324107.7209458,628,BTC-USD,3
1775324107.722649,629,BTC-USD,3
1775324107.722881,630,BTC-USD,12
1775324107.723084,631,BTC-USD,8
1775324107.7232919,632,BTC-USD,1
1775324107.7235148,633,BTC-USD,8
1775324107.723618,634,BTC-USD,14
1775324107.7310421,635,BTC-USD,5
1775324107.735817,636,BTC-USD,4
1775324107.735978,637,BTC-USD,14
1775324107.7361128,638,BTC-USD,19
1775324107.7362618,639,BTC-USD,1
1775324107.736386,640,BTC-USD,5
1775324107.736493,641,BTC-USD,5
1775324107.736601,642,BTC-USD,19
1775324107.737037,643,BTC-USD,15
1775324107.7412648,644,BTC-USD,7
1775324107.7413719,645,BTC-USD,2
1775324107.7422159,646,BTC-USD,14
1775324107.742282,647,BTC-USD,12
1775324107.744995,648,BTC-USD,3
1775324107.745099,649,BTC-USD,13
1775324107.7473211,650,BTC-USD,10
1775324107.748342,651,BTC-USD,12
1775324107.752311,652,BTC-USD,11
1775324107.752474,653,BTC-USD,8
1775324107.753741,654,BTC-USD,2
1775324107.7633688,655,BTC-USD,9
1775324107.815267,656,BTC-USD,5
1775324107.913301,657,BTC-USD,9
1775324107.965145,658,BTC-USD,10
1775324108.0098119,659,BTC-USD,1
1775324108.062835,660,BTC-USD,9
1775324108.1174002,661,BTC-USD,13
1775324108.1638348,662,BTC-USD,6
1775324108.2139142,663,BTC-USD,13
1775324108.2602491,664,BTC-USD,2
1775324108.3131368,665,BTC-USD,8
1775324108.360466,666,BTC-USD,1
1775324108.413345,667,BTC-USD,3
1775324109.204451,668,BTC-USD,1
1775324109.2047381,669,BTC-USD,11
1775324109.204917,670,BTC-USD,21
1775324109.205088,671,BTC-USD,1
1775324109.205214,672,BTC-USD,8
1775324109.20535,673,BTC-USD,38
1775324109.205497,674,BTC-USD,13
1775324109.205624,675,BTC-USD,10
1775324109.205778,676,BTC-USD,32
1775324109.2059038,677,BTC-USD,19
1775324109.206018,678,BTC-USD,4
1775324109.206114,679,BTC-USD,33
1775324109.206235,680,BTC-USD,13
1775324109.2063549,681,BTC-USD,42
1775324109.2065449,682,BTC-USD,11
1775324109.214164,683,BTC-USD,9
1775324109.260467,684,BTC-USD,3
1775324109.3134851,685,BTC-USD,4
1775324109.363552,686,BTC-USD,6
1775324109.4135559,687,BTC-USD,14
1775324109.496662,688,BTC-USD,38
1775324109.559767,689,BTC-USD,84
1775324109.598763,690,BTC-USD,6
1775324109.61981,691,BTC-USD,25
1775324109.6668942,692,BTC-USD,61
1775324109.716021,693,BTC-USD,45
1775324109.7669618,694,BTC-USD,47
1775324109.820948,695,BTC-USD,29
1775324109.8668501,696,BTC-USD,24
1775324109.914987,697,BTC-USD,5
1775324109.968396,698,BTC-USD,18
1775324110.015163,699,BTC-USD,2
1775324110.065654,700,BTC-USD,1
1775324110.1153762,701,BTC-USD,15
1775324110.171117,702,BTC-USD,91
1775324110.2151082,703,BTC-USD,18
1775324110.276609,704,BTC-USD,31
1775324110.314487,705,BTC-USD,13
1775324110.359466,706,BTC-USD,2
1775324110.413536,707,BTC-USD,9
1775324110.4636312,708,BTC-USD,8
1775324110.5137112,709,BTC-USD,5
1775324110.563678,710,BTC-USD,7
1775324110.6298938,711,BTC-USD,140
1775324110.664782,712,BTC-USD,23
1775324110.7138638,713,BTC-USD,40
1775324110.764995,714,BTC-USD,21
1775324110.812962,715,BTC-USD,8
1775324110.8629,716,BTC-USD,7
1775324110.914437,717,BTC-USD,12
1775324110.964108,718,BTC-USD,13
1775324111.016118,719,BTC-USD,12
1775324111.114271,720,BTC-USD,15
1775324111.1654332,721,BTC-USD,19
1775324111.264588,722,BTC-USD,11
1775324111.3145201,723,BTC-USD,20
